Latitude,Longitude,Landuse forest cover in 1990,Landuse shrubland in 1990,Landuse grassland in 1990,Landuse agriculture in 1990,Landuse bareland in 1990,Landuse settlements in 1990,Landuse waterbodies in 1990,Landuse snow and gacier lakes in 1990, Landuse forest cover in 2000,Landuse shrubland in 2000,Landuse grassland in 2000, Landuse agriculture in 2000,Landuse bareland in 2000,Landuse settlements in 2000,Landuse waterbodies in 2000,Landuse snow and gacier lakes in 2000,Landuse forest cover in 2010,Landuse shrubland in 2010,Landuse grassland in 2010,Landuse agriculture in 2010,Landuse bareland in 2010,Landuse settlements in 2010 ,Landuse waterbodies in 2010, Landuse snow and gacier lakes in 2010,Slope 0-5 degrees,Slope 5-10 degrees,Slope 10-15 degrees,SLope 15-20 degrees,SLope 20-25 degrees,Slope 25-30 degrees,Slope 30-40 degrees,Slope 40-50 degrees,Slope 50-60 degrees,Slope over 60 degree,Glaciated mountain," Haplumbrepts, Dystrochrepts, Cyrumbrepts soils","Dystrochrepts, Haplumbrepts, Haplustalfs","Dystrochrepts, Haplustalfs, Rhodustaifs","Udipsamments, Dystrochrepts, Rhodustalfs","Udipsamments, Dystrochrepts, Rhodustalfs","Udorthents, Haplustalfs, Rhodustralfs "," Haplaquents, Haplaqepts, Eutrocrepts","Haplaquents, Psammaquents, Ustorthents","Rhodustalfs, Dystrochrepts, Haplustailfs",Distance to river 1-99 meters,Distance from river 100-199 meters,Distance from river 200-299 meters,Distance from river 300-399 meters,Distance from river 400-499 meters,Distance from river 500-599 meters, Distance from river 600-699 meters,Distance from river 700-799 meters,Distance from river 800-899 meters,Distance from river over 900 meters,Distance from major roads 0 meters,Distance from major roads 0-50 meters,Distance from major roads 50-75 meters,Distance from major roads  above 75meters,Distance from minor roads 0 meters,Distance from minor roads 0 -25 meters,Distance from minor roads 25-50 meters, Distance from minor roads over 75 meters,Flat Area,Facing North Facing In,Northeast facing in Province 1,East facing ,Southeast facing ,South facing,Southwest facing, West facing,Northwest facing,North facing,ppt500 mm-1000mm, ppt1000mm-3000mm,ppt2000mm - 3000mm,Over 3000 mm,RainFall Erosibity Factor for(500-1000mm),RainFall Erosibity Factor for (1000-3000mm),RainFall Erosibity Factor for (2000-3000mm),RainFall Erosibity Factor for over 3000)
26.829486,86.909092,65700,0,0,878400,50400,0,0,0,76500,0,0,867600,47700,0,0,0,61200,900,0,849600,77400,0,0,0,0,0,0,0,980100,0,0,0,0,0,0,0,0,0,108900,207900,146700,134100,149400,153900,162900,176400,187200,123300,40500,3600,0,0,54900,178200,120600,28800,18000,34200,148500,209700,181800,35100,0,0,980100,0,0,18000,91800,71100,177300,540000,91800,3600,9900,6300,50270.0926,1913.8252,5367.8443,3394.1191
27.316375,87.297379,681300,0,0,308700,0,0,0,0,690300,0,0,300600,0,0,0,0,643500,0,0,345600,0,0,0,0,0,0,0,980100,0,0,0,0,0,0,0,0,0,0,82800,144000,79200,67500,216000,194400,188100,151200,131400,78300,34200,1800,0,0,2700,23400,84600,169200,234900,185400,236700,60300,12600,0,0,1009800,0,0,0,0,0,0,18000,355500,553500,82800,0,0,303400.3495,45335.7796,-59.9,-59.9
27.554118,87.966699,208800,467100,306900,0,0,0,0,2700,157500,468900,154800,0,207000,0,0,0,142200,434700,179100,0,0,0,0,236700,0,980100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4500,59400,63000,101700,108900,119700,111600,115200,110700,80100,65700,30600,117900,153000,136800,109800,80100,156600,130500,109800,15300,0,1009800,0,0,0,3600,22500,180000,140400,126900,225000,286200,53100,2700,123297.925,156851.2534,29052.5467,1420.3939
27.489156,86.399016,993600,0,0,0,0,0,0,0,991800,0,0,0,0,0,0,0,956700,0,36900,0,0,0,0,0,0,0,980100,0,0,0,0,0,0,0,0,0,0,0,33300,67500,39600,38700,0,0,0,1800,24300,44100,74700,108000,126000,130500,16200,68400,125100,214200,207000,161100,185400,2700,0,0,0,0,980100,0,0,111600,172800,178200,160200,65700,60300,61200,82800,87300,32999.9971,33493.4284,45335.7796,47802.9361
26.719365,88.125045,176400,0,0,485100,325800,0,0,0,154800,0,0,477000,99900,0,254700,0,153000,0,0,477900,92700,0,265500,0,0,0,0,0,0,0,980100,0,0,0,0,0,0,0,122400,225000,138600,120600,179100,96300,103500,104400,103500,105300,99000,101700,76500,19800,25200,54000,70200,81900,97200,90000,229500,226800,94500,10800,0,1009800,0,0,0,9000,28800,72900,90000,234000,361800,124200,52200,7200,198299.4826,68033.6194,28559.1154,3887.5504
27.266846,86.992546,732600,0,27000,226800,0,0,0,0,724500,0,28800,236700,0,0,0,0,668700,900,132300,193500,0,0,0,0,0,0,1009800,0,0,0,0,0,0,0,0,0,0,0,134100,241200,153000,120600,0,0,0,0,10800,31500,55800,79200,110700,113400,10800,29700,39600,48600,68400,77400,247500,279000,147600,61200,0,0,980100,0,0,216900,144900,22500,84600,307800,104400,23400,17100,88200,57178.1308,12769.3138,9315.2947,48296.3674
27.932121,86.795938,0,0,0,0,0,0,0,991800,0,3600,882900,0,106200,0,0,0,0,18900,873000,0,101700,0,0,0,0,1009800,0,0,0,0,0,0,0,0,0,0,0,0,44100,79200,58500,55800,0,3600,26100,45900,94500,172800,198900,151200,124200,97200,864000,176400,0,0,0,0,0,0,0,0,0,387900,592200,0,1800,64800,108900,101700,156600,177300,126900,105300,134100,63000,69513.9133,57671.5621,73461.3637,34480.291
27.528166,87.188367,667800,324900,0,0,0,0,0,0,647100,342000,0,0,0,0,0,0,675000,315900,0,900,0,0,0,0,0,0,1009800,0,0,0,0,0,0,0,0,0,0,0,90000,161100,100800,88200,0,0,0,0,0,0,8100,40500,67500,101700,66600,132300,110700,60300,86400,74700,167400,188100,108900,14400,0,1009800,0,0,0,78300,40500,15300,33300,100800,441900,190800,80100,28800,242214.8683,104547.5356,43855.4857,15729.9016
27.451641,86.437551,989100,0,2700,0,0,0,0,0,985500,0,2700,0,0,0,0,0,978300,6300,12600,0,0,0,0,0,0,726300,314100,0,0,0,0,0,0,0,0,0,0,0,62100,118800,79200,79200,0,22500,52200,71100,90900,102600,116100,117000,108900,112500,900,12600,49500,155700,260100,255600,211500,34200,0,0,0,980100,0,0,0,0,0,0,2700,81000,440100,363600,90900,1800,241228.0057,199286.3452,49776.6613,926.9626
26.619554,87.778829,0,0,0,986400,0,0,0,0,0,0,0,989100,0,0,0,0,0,0,0,994500,0,0,0,0,0,0,0,0,0,0,48600,961200,0,0,0,0,0,0,134100,225000,162000,132300,72000,93600,108000,107100,109800,103500,106200,108000,95400,65700,119700,181800,188100,147600,110700,86400,126000,48600,900,0,0,980100,0,0,0,60300,204300,180900,176400,52200,190800,55800,59400,29700,104547.5356,30532.8406,32506.5658,16223.3329
27.337079,87.993268,125100,0,729900,134100,0,0,0,0,118800,0,735300,131400,0,0,0,0,129600,0,725400,134100,0,0,0,0,0,0,980100,0,0,0,0,0,0,0,0,0,0,0,86400,160200,102600,94500,0,0,0,0,0,0,78300,100800,112500,180000,22500,59400,99900,206100,210600,173700,169200,37800,900,0,0,980100,0,0,0,100800,129600,74700,120600,32400,20700,99000,288000,114300,11289.0199,54217.543,157838.116,62605.8751
27.203336,87.210504,0,0,0,991800,0,0,0,0,0,0,0,992700,0,0,0,0,0,0,21600,961200,0,0,0,0,0,0,0,1040400,0,0,0,0,0,0,0,0,0,0,178200,279900,148500,108900,0,0,1800,28800,64800,94500,103500,110700,104400,110700,4500,31500,70200,104400,141300,173700,300600,128700,25200,0,0,0,980100,0,0,16200,191700,284400,242100,71100,55800,81000,35100,2700,30532.8406,44348.917,19183.9207,1420.3939
